"","Date","Count","Hour","Temp","Humidity","Wind_speed","Visibility","Dew_Point","Solar_Radiation","Rainfall","Snowfall","Seasons","Holiday","Functioning"
"26","1/2/2018",51,5,-7.8,65,2.3,1737,-13.2,0,0,1.6,"Winter","No Holiday","Yes"
"27","1/2/2018",81,3,-6.2,57,1.6,1874,-13.3,0,0,1.6,"Winter","No Holiday","Yes"
"28","1/2/2018",95,6,-8.1,59,0.7,1915,-14.7,0,0,1.6,"Winter","No Holiday","Yes"
"29","1/2/2018",103,2,-5.5,53,2.1,1980,-13.5,0,0,1.6,"Winter","No Holiday","Yes"
"30","1/2/2018",122,0,-5.2,56,1.4,1996,-12.6,0,0,1.6,"Winter","No Holiday","Yes"
"31","1/2/2018",143,23,-4.5,55,0.4,1908,-12.1,0,0,0,"Winter","No Holiday","Yes"
"32","1/2/2018",149,1,-5.4,54,1.7,1996,-13.2,0,0,1.6,"Winter","No Holiday","Yes"
"33","1/2/2018",168,10,-5,41,0.5,1799,-16.2,0.64,0,1.5,"Winter","No Holiday","Yes"
"34","1/2/2018",194,11,-2.6,33,1.5,1830,-16.6,0.95,0,1.4,"Winter","No Holiday","Yes"
"35","1/2/2018",233,13,0.3,28,3.1,1988,-16.1,1.3,0,1,"Winter","No Holiday","Yes"
"36","1/2/2018",235,22,-3.9,52,1.2,1871,-12.3,0,0,0,"Winter","No Holiday","Yes"
"37","1/2/2018",240,12,-1.1,31,1.3,1869,-16.1,1.2,0,1.3,"Winter","No Holiday","Yes"
"38","1/2/2018",244,7,-8.7,64,0.5,1972,-14.2,0,0,1.6,"Winter","No Holiday","Yes"
"39","1/2/2018",256,14,0.8,23,3.2,2000,-18,1.29,0,0.5,"Winter","No Holiday","Yes"
"40","1/2/2018",257,21,-3.2,47,1.8,1917,-12.9,0,0,0,"Winter","No Holiday","Yes"
"41","1/2/2018",259,9,-7.9,50,0.6,1805,-16.5,0.23,0,1.6,"Winter","No Holiday","Yes"
"42","1/2/2018",263,20,-2.4,36,1,2000,-15.4,0,0,0,"Winter","No Holiday","Yes"
"43","1/2/2018",268,16,1.1,26,2.1,1957,-16.3,0.82,0,0,"Winter","No Holiday","Yes"
"44","1/2/2018",293,15,0.7,25,3,1987,-17.1,1.12,0,0,"Winter","No Holiday","Yes"
"45","1/2/2018",341,17,0.3,26,2.4,1977,-17,0.45,0,0,"Winter","No Holiday","Yes"
"46","1/2/2018",344,19,-1.8,32,1.5,2000,-16.3,0,0,0,"Winter","No Holiday","Yes"
"47","1/2/2018",459,8,-8.6,59,1,1948,-15.1,0.01,0,1.6,"Winter","No Holiday","Yes"
"48","1/2/2018",542,18,-1,28,1.9,2000,-17.2,0.08,0,0,"Winter","No Holiday","Yes"
"49","1/12/2017",78,4,-6,36,2.3,2000,-18.6,0,0,0,"Winter","No Holiday","Yes"
"50","1/12/2017",100,5,-6.4,37,1.5,2000,-18.7,0,0,0,"Winter","No Holiday","Yes"
"51","1/12/2017",107,3,-6.2,40,0.9,2000,-17.6,0,0,0,"Winter","No Holiday","Yes"
"52","1/12/2017",173,2,-6,39,1,2000,-17.7,0,0,0,"Winter","No Holiday","Yes"
"53","1/12/2017",181,6,-6.6,35,1.3,2000,-19.5,0,0,0,"Winter","No Holiday","Yes"
"54","1/12/2017",204,1,-5.5,38,0.8,2000,-17.6,0,0,0,"Winter","No Holiday","Yes"
"55","1/12/2017",254,0,-5.2,37,2.2,2000,-17.6,0,0,0,"Winter","No Holiday","Yes"
"56","1/12/2017",323,23,-1.3,84,1,1265,-3.6,0,0,0,"Winter","No Holiday","Yes"
"57","1/12/2017",339,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,"Winter","No Holiday","Yes"
"58","1/12/2017",360,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,"Winter","No Holiday","Yes"
"59","1/12/2017",398,22,-0.9,83,1.5,1380,-3.4,0,0,0,"Winter","No Holiday","Yes"
"60","1/12/2017",405,21,-0.8,81,0.8,1687,-3.6,0,0,0,"Winter","No Holiday","Yes"
"61","1/12/2017",426,20,-0.3,79,1.5,1913,-3.5,0,0,0,"Winter","No Holiday","Yes"
"62","1/12/2017",447,14,3,26,2,2000,-14.6,1.01,0,0,"Winter","No Holiday","Yes"
"63","1/12/2017",449,12,1.7,23,1.4,2000,-17.2,1.11,0,0,"Winter","No Holiday","Yes"
"64","1/12/2017",451,13,2.4,25,1.6,2000,-15.6,1.16,0,0,"Winter","No Holiday","Yes"
"65","1/12/2017",460,7,-7.4,38,0.9,2000,-19.3,0,0,0,"Winter","No Holiday","Yes"
"66","1/12/2017",463,15,2.1,36,3.2,2000,-11.4,0.54,0,0,"Winter","No Holiday","Yes"
"67","1/12/2017",484,16,1.2,54,4.2,793,-7,0.24,0,0,"Winter","No Holiday","Yes"
"68","1/12/2017",490,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,"Winter","No Holiday","Yes"
"69","1/12/2017",555,17,0.8,58,1.6,2000,-6.5,0.08,0,0,"Winter","No Holiday","Yes"
"70","1/12/2017",600,19,0,77,1.7,2000,-3.5,0,0,0,"Winter","No Holiday","Yes"
"71","1/12/2017",862,18,0.6,66,1.4,2000,-5,0,0,0,"Winter","No Holiday","Yes"
"72","1/12/2017",930,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,"Winter","No Holiday","Yes"
"73","2/1/2018",31,4,-2.7,67,0.5,1302,-7.9,0,0,0,"Winter","No Holiday","Yes"
"74","2/1/2018",41,3,-2.5,62,0.4,1626,-8.7,0,0,0,"Winter","No Holiday","Yes"
"75","2/1/2018",58,5,-3.1,67,0.6,1384,-8.3,0,0,0,"Winter","No Holiday","Yes"
"76","2/1/2018",69,2,-2.3,62,0.9,1560,-8.6,0,0,0,"Winter","No Holiday","Yes"
"77","2/1/2018",108,1,-2.1,56,0.8,1732,-9.7,0,0,0,"Winter","No Holiday","Yes"
"78","2/1/2018",139,6,-3.2,67,0.4,1409,-8.4,0,0,0,"Winter","No Holiday","Yes"
"79","2/1/2018",148,0,-1.8,54,1.1,1772,-9.8,0,0,0,"Winter","No Holiday","Yes"
"80","2/1/2018",186,23,-3.8,35,2.3,2000,-17,0,0,0,"Winter","No Holiday","Yes"
"81","2/1/2018",208,10,-1.4,50,1.9,1355,-10.5,0.38,0,0,"Winter","No Holiday","Yes"
"82","2/1/2018",269,11,-0.4,40,2.3,1633,-12.3,0.66,0,0,"Winter","No Holiday","Yes"
"83","2/1/2018",273,13,1.5,23,3.6,1970,-17.4,0.95,0,0,"Winter","No Holiday","Yes"
"84","2/1/2018",273,22,-3.4,33,2.4,2000,-17.4,0,0,0,"Winter","No Holiday","Yes"
"85","2/1/2018",293,12,0.9,29,1.9,1761,-15.1,0.88,0,0,"Winter","No Holiday","Yes"
"86","2/1/2018",295,15,1.5,22,3,1998,-17.9,0.76,0,0,"Winter","No Holiday","Yes"
"87","2/1/2018",302,14,1.7,20,4.4,1995,-18.9,0.91,0,0,"Winter","No Holiday","Yes"
"88","2/1/2018",304,21,-2.6,28,2,2000,-18.6,0,0,0,"Winter","No Holiday","Yes"
"89","2/1/2018",315,9,-3.1,66,0.2,1168,-8.5,0.12,0,0,"Winter","No Holiday","Yes"
"90","2/1/2018",320,16,1.3,23,2.9,2000,-17.6,0.51,0,0,"Winter","No Holiday","Yes"
"91","2/1/2018",344,7,-3.2,69,0.5,1249,-8,0,0,0,"Winter","No Holiday","Yes"
"92","2/1/2018",364,20,-1.9,26,2.2,2000,-18.9,0,0,0,"Winter","No Holiday","Yes"
"93","2/1/2018",373,17,0.3,27,2.6,2000,-16.5,0.18,0,0,"Winter","No Holiday","Yes"
"94","2/1/2018",403,19,-1.3,28,2.4,2000,-17.5,0,0,0,"Winter","No Holiday","Yes"
"95","2/1/2018",655,8,-3.4,71,0.8,1179,-7.9,0,0,0,"Winter","No Holiday","Yes"
"96","2/1/2018",675,18,-0.8,24,2.3,2000,-18.9,0.01,0,0,"Winter","No Holiday","Yes"
"97","2/2/2018",47,4,-6.7,65,1.1,1705,-12.1,0,0,0,"Winter","No Holiday","Yes"
"98","2/2/2018",48,5,-6.8,61,0.2,1724,-13,0,0,0,"Winter","No Holiday","Yes"
"99","2/2/2018",65,3,-6.3,63,0.9,1425,-12.2,0,0,0,"Winter","No Holiday","Yes"
"100","2/2/2018",102,2,-5.7,59,0.3,1951,-12.4,0,0,0,"Winter","No Holiday","Yes"
"101","2/2/2018",115,6,-7,62,1.3,1830,-13,0,0,0,"Winter","No Holiday","Yes"
"102","2/2/2018",138,0,-4.9,56,1.1,1982,-12.3,0,0,0,"Winter","No Holiday","Yes"
"103","2/2/2018",159,1,-5.2,56,0.9,1973,-12.6,0,0,0,"Winter","No Holiday","Yes"
"104","2/2/2018",178,23,-2.6,69,2,1434,-7.5,0,0,0,"Winter","No Holiday","Yes"
"105","2/2/2018",187,10,-4.1,43,1.2,1187,-14.8,0.59,0,0,"Winter","No Holiday","Yes"
"106","2/2/2018",225,21,-2,61,1.7,1655,-8.5,0,0,0,"Winter","No Holiday","Yes"
"107","2/2/2018",227,22,-2.4,63,1.3,1523,-8.4,0,0,0,"Winter","No Holiday","Yes"
"108","2/2/2018",234,11,-1.4,37,1,1317,-14.2,0.91,0,0,"Winter","No Holiday","Yes"
"109","2/2/2018",241,20,-1.3,51,2.4,1481,-10.1,0,0,0,"Winter","No Holiday","Yes"
"110","2/2/2018",267,7,-7.4,62,1.5,1909,-13.4,0,0,0,"Winter","No Holiday","Yes"
"111","2/2/2018",280,9,-6.5,54,1.2,1541,-14.2,0.22,0,0,"Winter","No Holiday","Yes"
"112","2/2/2018",293,14,3.2,26,2.2,1499,-14.5,1.16,0,0,"Winter","No Holiday","Yes"
"113","2/2/2018",294,13,1.6,29,2.2,1662,-14.5,1.2,0,0,"Winter","No Holiday","Yes"
"114","2/2/2018",303,12,0.9,37,1.5,1283,-12.1,1.12,0,0,"Winter","No Holiday","Yes"
"115","2/2/2018",310,15,3.6,26,2.4,1687,-14.1,0.99,0,0,"Winter","No Holiday","Yes"
"116","2/2/2018",330,16,2.9,26,3,1968,-14.7,0.69,0,0,"Winter","No Holiday","Yes"
"117","2/2/2018",379,19,-0.5,43,2.5,1666,-11.5,0,0,0,"Winter","No Holiday","Yes"
"118","2/2/2018",382,17,2,25,2.3,1998,-16,0.34,0,0,"Winter","No Holiday","Yes"
"119","2/2/2018",558,8,-7.4,58,2.2,1882,-14.2,0.01,0,0,"Winter","No Holiday","Yes"
"120","2/2/2018",592,18,0.5,37,3,1733,-12.5,0.06,0,0,"Winter","No Holiday","Yes"
"121","2/12/2017",70,6,-4.3,82,2.1,1178,-6.9,0,0,0,"Winter","No Holiday","Yes"
"122","2/12/2017",79,5,-4,79,1.5,1202,-7.1,0,0,0,"Winter","No Holiday","Yes"
"123","2/12/2017",89,4,-3.8,79,2,1167,-6.9,0,0,0,"Winter","No Holiday","Yes"
"124","2/12/2017",146,7,-4.4,81,2.5,1276,-7.1,0,0,0,"Winter","No Holiday","Yes"
"125","2/12/2017",167,3,-3.5,81,2.2,1221,-6.2,0,0,0,"Winter","No Holiday","Yes"
"126","2/12/2017",219,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,"Winter","No Holiday","Yes"
"127","2/12/2017",262,2,-2.9,86,1.5,1256,-4.9,0,0,0,"Winter","No Holiday","Yes"
"128","2/12/2017",308,1,-2.2,86,0.6,990,-4.2,0,0,0,"Winter","No Holiday","Yes"
"129","2/12/2017",328,0,-1.8,87,1.1,994,-3.6,0,0,0,"Winter","No Holiday","Yes"
"130","2/12/2017",328,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,"Winter","No Holiday","Yes"
"131","2/12/2017",334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,"Winter","No Holiday","Yes"
"132","2/12/2017",354,22,3.5,54,1.5,1446,-4.9,0,0,0,"Winter","No Holiday","Yes"
"133","2/12/2017",359,20,4.6,51,1.2,1585,-4.6,0,0,0,"Winter","No Holiday","Yes"
"134","2/12/2017",366,23,4,56,1,1352,-4,0,0,0,"Winter","No Holiday","Yes"
"135","2/12/2017",377,21,4.1,55,1.2,1448,-4.1,0,0,0,"Winter","No Holiday","Yes"
"136","2/12/2017",385,19,5,52,2.3,1666,-4,0,0,0,"Winter","No Holiday","Yes"
"137","2/12/2017",388,11,1.9,49,1.8,1406,-7.7,1,0,0,"Winter","No Holiday","Yes"
"138","2/12/2017",479,12,4.3,41,1.3,1666,-7.8,1.09,0,0,"Winter","No Holiday","Yes"
"139","2/12/2017",489,18,5.5,53,1.5,1697,-3.3,0,0,0,"Winter","No Holiday","Yes"
"140","2/12/2017",572,17,6,51,2.5,1891,-3.3,0.06,0,0,"Winter","No Holiday","Yes"
"141","2/12/2017",589,15,7.6,41,2.3,1953,-4.8,0.74,0,0,"Winter","No Holiday","Yes"
"142","2/12/2017",606,13,6,36,1.8,1780,-7.9,1.12,0,0,"Winter","No Holiday","Yes"
"143","2/12/2017",611,14,7.3,35,1.3,1955,-7.1,0.99,0,0,"Winter","No Holiday","Yes"
"144","2/12/2017",618,16,6.4,48,2.6,1945,-3.8,0.22,0,0,"Winter","No Holiday","Yes"
"145","3/1/2018",43,4,-6.1,45,2.3,2000,-16.1,0,0,0,"Winter","No Holiday","Yes"
"146","3/1/2018",67,3,-6.1,45,1.3,1999,-16.1,0,0,0,"Winter","No Holiday","Yes"
"147","3/1/2018",67,5,-6.4,47,2.4,1981,-15.8,0,0,0,"Winter","No Holiday","Yes"
"148","3/1/2018",110,2,-5.5,43,2,2000,-16.1,0,0,0,"Winter","No Holiday","Yes"
"149","3/1/2018",130,1,-5,42,1.2,1993,-15.9,0,0,0,"Winter","No Holiday","Yes"
"150","3/1/2018",137,6,-6.7,48,2.4,1991,-15.9,0,0,0,"Winter","No Holiday","Yes"
"151","3/1/2018",160,0,-4.3,38,1.4,2000,-16.5,0,0,0,"Winter","No Holiday","Yes"
"152","3/1/2018",197,23,-5.9,54,0.8,1968,-13.7,0,0,0,"Winter","No Holiday","Yes"
"153","3/1/2018",213,10,-5.6,38,2.9,1752,-17.6,0.55,0,0,"Winter","No Holiday","Yes"
"154","3/1/2018",267,11,-4.5,36,3.2,1736,-17.3,0.77,0,0,"Winter","No Holiday","Yes"
"155","3/1/2018",270,14,-1.5,30,2.8,1903,-16.8,1.1,0,0,"Winter","No Holiday","Yes"
"156","3/1/2018",279,13,-2.2,31,2.3,1910,-17,1.13,0,0,"Winter","No Holiday","Yes"
"157","3/1/2018",286,15,-1.1,29,2.8,1976,-16.9,0.96,0,0,"Winter","No Holiday","Yes"
"158","3/1/2018",291,22,-5.2,53,1.3,1969,-13.3,0,0,0,"Winter","No Holiday","Yes"
"159","3/1/2018",294,20,-3.9,44,2.5,2000,-14.3,0,0,0,"Winter","No Holiday","Yes"
"160","3/1/2018",297,12,-3.4,32,3.1,1706,-17.7,1.02,0,0,"Winter","No Holiday","Yes"
"161","3/1/2018",299,16,-0.4,30,2,2000,-15.9,0.62,0,0,"Winter","No Holiday","Yes"
"162","3/1/2018",308,7,-6.9,48,2.4,1974,-16,0,0,0,"Winter","No Holiday","Yes"
"163","3/1/2018",335,21,-4.3,47,2.8,1997,-13.9,0,0,0,"Winter","No Holiday","Yes"
"164","3/1/2018",342,9,-6.8,44,1.7,1858,-17,0.16,0,0,"Winter","No Holiday","Yes"
"165","3/1/2018",382,17,-1.9,35,1.8,2000,-15.3,0.25,0,0,"Winter","No Holiday","Yes"
"166","3/1/2018",431,19,-3.7,41,2,2000,-15,0,0,0,"Winter","No Holiday","Yes"
"167","3/1/2018",637,18,-3.1,39,2.1,2000,-15.1,0,0,0,"Winter","No Holiday","Yes"
"168","3/1/2018",670,8,-7,49,1.5,1971,-15.9,0,0,0,"Winter","No Holiday","Yes"
"169","3/2/2018",31,5,-6.3,65,3.9,1521,-11.8,0,0,0.3,"Winter","No Holiday","Yes"
"170","3/2/2018",33,6,-7.8,57,4.8,1867,-14.8,0,0.4,0.3,"Winter","No Holiday","Yes"
"171","3/2/2018",35,4,-5.6,74,4,387,-9.5,0,0,0.2,"Winter","No Holiday","Yes"
"172","3/2/2018",60,3,-4.4,80,4.3,346,-7.3,0,0.1,0.1,"Winter","No Holiday","Yes"
"173","3/2/2018",67,7,-8.8,58,4,1942,-15.5,0,0,0.3,"Winter","No Holiday","Yes"
"174","3/2/2018",91,23,-10,48,2.6,2000,-18.9,0,0,0,"Winter","No Holiday","Yes"
"175","3/2/2018",92,22,-9.7,45,3,2000,-19.4,0,0,0,"Winter","No Holiday","Yes"
"176","3/2/2018",107,21,-9.1,38,2.7,2000,-20.8,0,0,0,"Winter","No Holiday","Yes"
"177","3/2/2018",109,20,-8.5,31,4.1,2000,-22.6,0,0,0,"Winter","No Holiday","Yes"
"178","3/2/2018",116,8,-9.5,56,3.5,1979,-16.6,0.01,0,0.3,"Winter","No Holiday","Yes"
"179","3/2/2018",123,2,-3.4,82,4.2,184,-6,0,0,0,"Winter","No Holiday","Yes"
"180","3/2/2018",135,19,-7.6,32,4.8,2000,-21.4,0,0,0,"Winter","No Holiday","Yes"
"181","3/2/2018",144,10,-8.5,43,4,1797,-18.8,1.09,0,0.2,"Winter","No Holiday","Yes"
"182","3/2/2018",168,9,-9.4,47,3.3,1995,-18.6,0.42,0,0.3,"Winter","No Holiday","Yes"
"183","3/2/2018",175,18,-6.6,36,4.4,2000,-19.2,0.15,0,0,"Winter","No Holiday","Yes"
"184","3/2/2018",182,0,-2.5,69,2.2,1366,-7.4,0,0,0,"Winter","No Holiday","Yes"
"185","3/2/2018",184,1,-2.3,71,3.2,1078,-6.8,0,0,0,"Winter","No Holiday","Yes"
"186","3/2/2018",192,12,-6,38,3.4,1930,-18,2.04,0,0,"Winter","No Holiday","Yes"
"187","3/2/2018",195,11,-7.7,41,4.6,1984,-18.7,1.65,0,0.2,"Winter","No Holiday","Yes"
"188","3/2/2018",196,14,-5,31,4,2000,-19.5,2.18,0,0,"Winter","No Holiday","Yes"
"189","3/2/2018",205,16,-4.2,31,3.5,1974,-18.8,1.42,0,0,"Winter","No Holiday","Yes"
"190","3/2/2018",210,15,-4.5,31,4.3,1979,-19.1,1.91,0,0,"Winter","No Holiday","Yes"
"191","3/2/2018",211,17,-5.6,32,4.6,2000,-19.7,0.53,0,0,"Winter","No Holiday","Yes"
"192","3/2/2018",229,13,-5.8,38,3.7,1961,-17.8,2.25,0,0,"Winter","No Holiday","Yes"
"193","3/12/2017",13,6,3.4,86,2.5,278,1.2,0,1,0,"Winter","No Holiday","Yes"
"194","3/12/2017",22,7,3.1,91,1.2,129,1.7,0,0,0,"Winter","No Holiday","Yes"
"195","3/12/2017",32,5,3.9,75,1.9,914,-0.1,0,0,0,"Winter","No Holiday","Yes"
"196","3/12/2017",76,4,3.5,73,1,1060,-0.8,0,0,0,"Winter","No Holiday","Yes"
"197","3/12/2017",85,8,3.2,92,1.8,244,2,0,0,0,"Winter","No Holiday","Yes"
"198","3/12/2017",117,3,3.4,71,1.6,1011,-1.3,0,0.5,0,"Winter","No Holiday","Yes"
"199","3/12/2017",152,9,3.5,91,1.8,231,2.1,0.02,2.5,0,"Winter","No Holiday","Yes"
"200","3/12/2017",200,10,4.4,89,2.2,257,2.7,0.24,0,0,"Winter","No Holiday","Yes"
"201","3/12/2017",227,1,3.9,69,1.7,485,-1.2,0,0,0,"Winter","No Holiday","Yes"
"202","3/12/2017",228,2,3.3,79,1.4,830,0,0,0,0,"Winter","No Holiday","Yes"
"203","3/12/2017",273,11,5.1,87,1.4,321,3.1,0.25,0,0,"Winter","No Holiday","Yes"
"204","3/12/2017",303,23,3.9,90,1.3,194,2.4,0,0,0,"Winter","No Holiday","Yes"
"205","3/12/2017",333,12,5.8,85,1.7,349,3.4,0.43,0,0,"Winter","No Holiday","Yes"
"206","3/12/2017",342,0,4,58,1.4,1296,-3.5,0,0,0,"Winter","No Holiday","Yes"
"207","3/12/2017",350,22,4.3,89,1.8,201,2.6,0,0,0,"Winter","No Holiday","Yes"
"208","3/12/2017",385,21,4.7,87,1.2,247,2.7,0,0,0,"Winter","No Holiday","Yes"
"209","3/12/2017",397,20,5.2,87,1.4,253,3.2,0,0,0,"Winter","No Holiday","Yes"
"210","3/12/2017",422,19,5.7,85,1.7,309,3.3,0,0,0,"Winter","No Holiday","Yes"
"211","3/12/2017",443,18,6,84,1.9,327,3.4,0,0,0,"Winter","No Holiday","Yes"
"212","3/12/2017",495,13,6.8,81,1.9,390,3.7,0.6,0,0,"Winter","No Holiday","Yes"
"213","3/12/2017",545,17,6.7,82,1.5,358,3.8,0.05,0,0,"Winter","No Holiday","Yes"
"214","3/12/2017",563,14,7.6,76,1.2,422,3.6,0.69,0,0,"Winter","No Holiday","Yes"
"215","3/12/2017",598,16,7.6,77,1.6,399,3.8,0.2,0,0,"Winter","No Holiday","Yes"
"216","3/12/2017",621,15,8,73,1.6,433,3.4,0.53,0,0,"Winter","No Holiday","Yes"
"217","4/1/2018",38,4,-7.5,55,1.3,1984,-15,0,0,0,"Winter","No Holiday","Yes"
"218","4/1/2018",57,3,-7.4,54,1.7,1968,-15.1,0,0,0,"Winter","No Holiday","Yes"
"219","4/1/2018",66,5,-7.6,49,1.3,2000,-16.4,0,0,0,"Winter","No Holiday","Yes"
"220","4/1/2018",120,6,-7.6,47,2.3,2000,-16.9,0,0,0,"Winter","No Holiday","Yes"
"221","4/1/2018",123,2,-7.3,57,2,1978,-14.3,0,0,0,"Winter","No Holiday","Yes"
"222","4/1/2018",150,1,-6.9,56,2.3,1994,-14.2,0,0,0,"Winter","No Holiday","Yes"
"223","4/1/2018",159,0,-6.3,54,1.4,1990,-14.1,0,0,0,"Winter","No Holiday","Yes"
"224","4/1/2018",197,10,-6.4,43,1,1872,-16.9,0.43,0,0,"Winter","No Holiday","Yes"
"225","4/1/2018",221,23,-4,48,1.5,1536,-13.4,0,0,0,"Winter","No Holiday","Yes"
"226","4/1/2018",262,14,-0.8,32,1.4,1846,-15.4,0.78,0,0,"Winter","No Holiday","Yes"
"227","4/1/2018",264,11,-4.4,40,0.8,1671,-16,0.69,0,0,"Winter","No Holiday","Yes"
"228","4/1/2018",281,15,-1.2,31,0.8,1732,-16.2,0.47,0,0,"Winter","No Holiday","Yes"
"229","4/1/2018",284,13,-2,32,1,1864,-16.5,0.91,0,0,"Winter","No Holiday","Yes"
"230","4/1/2018",290,12,-2.9,33,0.9,1813,-16.9,0.92,0,0,"Winter","No Holiday","Yes"
"231","4/1/2018",302,7,-8.1,51,0.5,1987,-16.4,0,0,0,"Winter","No Holiday","Yes"
"232","4/1/2018",306,22,-3.6,46,1.3,1689,-13.5,0,0,0,"Winter","No Holiday","Yes"
"233","4/1/2018",309,16,-1.4,34,1.8,1719,-15.2,0.3,0,0,"Winter","No Holiday","Yes"
"234","4/1/2018",310,21,-3.1,41,2,1742,-14.5,0,0,0,"Winter","No Holiday","Yes"
"235","4/1/2018",311,20,-2.8,39,1.7,1702,-14.8,0,0,0,"Winter","No Holiday","Yes"
"236","4/1/2018",340,9,-7.9,48,1.2,1926,-17,0.14,0,0,"Winter","No Holiday","Yes"
"237","4/1/2018",397,17,-2.1,37,1.4,1591,-14.8,0.09,0,0,"Winter","No Holiday","Yes"
"238","4/1/2018",417,19,-2.7,39,1.4,1616,-14.7,0,0,0,"Winter","No Holiday","Yes"
"239","4/1/2018",603,18,-2.6,38,1.4,1604,-14.9,0,0,0,"Winter","No Holiday","Yes"
"240","4/1/2018",646,8,-8.6,55,0.6,1984,-16,0,0,0,"Winter","No Holiday","Yes"
"241","4/2/2018",21,5,-11.5,51,3.3,1996,-19.6,0,0,0,"Winter","No Holiday","Yes"
"242","4/2/2018",23,6,-11.8,54,2.4,1917,-19.2,0,0,0,"Winter","No Holiday","Yes"
"243","4/2/2018",34,7,-12.4,54,2.5,1790,-19.8,0,0,0,"Winter","No Holiday","Yes"
"244","4/2/2018",35,4,-11.2,47,2.3,2000,-20.3,0,0,0,"Winter","No Holiday","Yes"
"245","4/2/2018",54,3,-10.6,47,3.7,2000,-19.7,0,0,0,"Winter","No Holiday","Yes"
"246","4/2/2018",60,2,-10.5,49,2,2000,-19.1,0,0,0,"Winter","No Holiday","Yes"
"247","4/2/2018",70,8,-12.8,56,2.4,1507,-19.7,0.02,0,0,"Winter","No Holiday","Yes"
"248","4/2/2018",77,23,-10.3,48,2,2000,-19.2,0,0,0,"Winter","No Holiday","Yes"
"249","4/2/2018",78,22,-9.7,45,1.3,2000,-19.4,0,0,0,"Winter","No Holiday","Yes"
"250","4/2/2018",90,1,-10.5,48,3.1,2000,-19.4,0,0,0,"Winter","No Holiday","Yes"
"251","4/2/2018",97,9,-12.4,51,3.8,1415,-20.4,0.38,0,0,"Winter","No Holiday","Yes"
"252","4/2/2018",98,0,-10.4,49,2.4,2000,-19,0,0,0,"Winter","No Holiday","Yes"
